Rank,School Rank,School,Team,Solved,Penalty,Member1,Member2,Member3,Medal,Unofficial,Girl
232,,西北师范大学,夕阳红战队之黄昏再出发,2,304,,,,Honorable,N,N
233,,武汉大学,不寄不摆不打铁,2,304,,,,Honorable,N,N
234,,北京邮电大学,未响应,2,307,,,,Honorable,N,N
235,132,潍坊学院,都来关注嘉然小姐,2,310,,,,Honorable,N,N
236,133,河南理工大学,手气最佳,2,313,,,,Honorable,N,N
237,134,中国地质大学（武汉）,背着队友偷偷wa题,2,313,,,,Honorable,N,N
238,134,重庆邮电大学,gnk48,2,314,,,,Honorable,N,N
239,134,山东理工大学,注意效率,2,315,,,,Honorable,N,N
240,,中国人民大学,三个人商量半天发现都不会取名于是就这样了,2,317,,,,Honorable,N,N
241,137,山东理工大学,皮卡Wa,2,317,,,,Honorable,N,N
242,,中国石油大学（华东）,金鑫亮晶晶,2,322,,,,Honorable,N,N
243,,南昌大学,我们都有美好的未来,2,322,,,,Honorable,N,N
244,,西南民族大学,求求让我们拿个奖吧,2,326,,,,Honorable,N,N
245,138,南京信息工程大学,从零开始的ACM生活,2,326,,,,Honorable,N,N
246,139,青岛大学,好想有个学上,2,328,,,,Honorable,N,N
247,139,浙大城市学院,逃跑太阳,2,329,,,,Honorable,N,N
248,141,江苏科技大学,长山有矿,2,330,,,,Honorable,N,N
249,142,鲁东大学,星星之火,2,332,,,,Honorable,N,N
250,142,浙大城市学院,不摆烂从取队名开始,2,332,,,,Honorable,N,N
251,,武汉科技大学,AliCization,2,333,,,,Honorable,N,N
252,,济南大学,大膜术师,2,333,,,,Honorable,N,N
253,,上海大学,正在AC中,2,335,,,,Honorable,N,N
254,,东南大学,石骨泉心,2,336,,,,Honorable,N,N
255,,西安邮电大学,鮊纅孁鬏綦噁,2,339,,,,Honorable,N,N
256,,云南大学,【B限】第一次学代码,2,344,,,,Honorable,N,N
257,,江南大学,远坂凛粉丝队,2,346,,,,Honorable,N,N
258,,河北师范大学,懒羊羊与小灰灰,2,347,,,,Honorable,N,N
259,144,山东科技大学,NCC_1371 共和国号,2,347,,,,Honorable,N,N
260,144,华东交通大学,能不能不打铜,2,348,,,,Honorable,N,N
261,146,常州大学,塔塔开,2,350,,,,Honorable,N,N
262,,香港中文大学（深圳）,可爱天赐摸猫猫,2,350,,,,Honorable,N,N
263,,西安邮电大学,遇到困难睡大觉,2,351,,,,Honorable,N,N
264,,中南民族大学,回响,2,352,,,,Honorable,N,N
265,147,东北林业大学,kki,2,353,,,,Honorable,N,N
266,148,四川大学,狂风之力！,2,354,,,,Honorable,N,N
267,148,华中科技大学,打得不错,2,355,,,,Honorable,N,N
268,,河北师范大学,美羊羊与沸羊羊,2,359,,,,Honorable,N,N
269,150,广东工业大学,猫猫吃代码,2,360,,,,Honorable,N,N
270,151,青岛科技大学,123qwe,2,361,,,,Honorable,N,N
271,152,福州大学,新概念女队,2,365,,,,Honorable,N,N
272,,江南大学,OP战队,2,367,,,,Honorable,N,N
273,153,西北大学,闪电ac队,2,368,,,,Honorable,N,N
274,,河南科技大学,游戏玩家,2,369,,,,Honorable,N,N
275,154,河南理工大学,反方向的钟,2,373,,,,Honorable,N,N
276,,西北工业大学,翱翔快递队,2,373,,,,Honorable,N,N
277,155,浙江工业职业技术学院,浙江工业职业技术学院1队,2,375,,,,Honorable,N,N
278,,东华大学,关键字,2,377,,,,Honorable,N,N
279,,东北大学,东北大学_不喝百事,2,378,,,,Honorable,N,N
280,,浙江工业大学,ZJUT4,2,381,,,,Honorable,N,N
281,,福建师范大学,我们需要一个支持单点修改单点查询的数据结构,2,382,,,,Honorable,N,N
282,,潍坊学院,积极向上,2,383,,,,Honorable,N,N
283,156,杭州师范大学,这就是我们的AC路线,2,384,,,,Honorable,N,N
284,,广东工业大学,寂静之声,2,385,,,,Honorable,N,N
285,156,中原工学院,希望从河南电子科技大学毕业,2,385,,,,Honorable,N,N
286,158,武汉科技大学,敲的要快交的要帅,2,386,,,,Honorable,N,N
287,159,杭州师范大学,幼稚未完,2,387,,,,Honorable,N,N
288,159,山东理工大学,Wa哈哈,2,387,,,,Honorable,N,N
289,,浙江大学,So Cute,2,389,,,,Honorable,N,N
290,161,西南财经大学,世界征服者,2,390,,,,Honorable,N,N
291,,盐城工学院,赟赟之队,2,393,,,,Honorable,N,N
292,161,哈尔滨商业大学,先行者,2,394,,,,Honorable,N,N
293,,江西师范大学,你百度一下,2,394,,,,Honorable,N,N
294,161,浙江工业大学之江学院,三人四级五百分,2,399,,,,Honorable,N,N
295,,青岛科技大学,肖申克,2,400,,,,Honorable,N,N
296,164,厦门大学,乐观向上,2,400,,,,Honorable,N,N
297,,华中师范大学,比赛-读题-下班,2,402,,,,Honorable,N,N
298,,哈尔滨工程大学,三头老猫,2,403,,,,Honorable,N,N
